,igid,BFS,CCL,FGAUSSIAN,FHOTSPOT,FLAVA,FLUD,FMXM,MERGESORT,NW,QUICKSORT
SDC,FP32,0.0,0.0,0.3333333333333333,0.036333333333333336,0.22466666666666665,0.287,0.31966666666666665,0.003,0.043,0.251
SDC,GP,0.042,0.069,0.314,0.046,0.225,0.252,0.28,0.032,0.057666666666666665,0.139
SDC,LD,0.1635,0.45299999999999996,0.3333333333333333,0.12666666666666668,0.245,0.2806666666666667,0.2883333333333333,0.067,0.09166666666666666,0.19899999999999998
DUE,FP32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09666666666666666,0.025333333333333333,0.08166666666666668
DUE,GP,0.156,0.0765,0.01933333333333333,0.018666666666666668,0.0003333333333333333,0.04,0.02066666666666667,0.20266666666666666,0.107,0.071
DUE,LD,0.013000000000000001,0.0,0.0,0.0,0.001,0.0,0.0,0.08333333333333333,0.05833333333333333,0.0
