,igid,DGEMM,DHOTSPOT,DLAVA,DMXM,FGEMM,FHOTSPOT,FLAVA,FMXM,FYOLOV3
SDC,FP32,0.0,0.11125,0.0,0.0,0.31466666666666665,0.15766666666666668,0.132,0.32133333333333336,0.07966666666666666
SDC,FP64,0.2425,0.1405,0.15533333333333332,0.32899999999999996,0.0,0.0,0.0,0.0,0.0
SDC,GP,0.23625,0.10125,0.122,0.08066666666666666,0.2973333333333333,0.15333333333333332,0.10533333333333332,0.06666666666666668,0.08533333333333333
SDC,LD,0.22875,0.13525,0.06666666666666668,0.0,0.3093333333333333,0.18266666666666667,0.042,0.0,0.06966666666666667
DUE,FP32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUE,FP64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUE,GP,0.00725,0.01625,0.013333333333333334,0.10766666666666666,0.008333333333333333,0.024,0.017,0.113,0.02
DUE,LD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023333333333333327
